Reference Date,Pair Date,Coherence
2020-12-05,2021-05-06,
2020-12-05,2021-05-10,
2020-12-05,2021-05-14,
2020-12-05,2021-05-18,
2020-12-05,2021-05-22,
2020-12-05,2021-05-26,
2020-12-05,2021-05-30,
2020-12-05,2021-06-03,
2020-12-05,2021-06-07,
2020-12-05,2021-06-11,
2020-12-05,2021-06-15,
2020-12-05,2021-06-19,
2020-12-05,2021-06-23,
2020-12-05,2021-06-27,
2020-12-05,2021-07-01,
2020-12-05,2021-07-05,
2020-12-05,2021-07-09,
2020-12-05,2021-07-13,
2020-12-05,2021-07-17,
2020-12-05,2021-07-21,
2020-12-05,2021-07-25,
2020-12-05,2021-07-29,
2020-12-05,2021-08-02,
2020-12-05,2021-08-06,
2020-12-05,2021-08-10,
2020-12-05,2021-08-14,
2020-12-05,2021-08-18,
2020-12-05,2021-08-22,
2020-12-05,2021-08-26,
2020-12-05,2021-08-30,
2020-12-05,2021-09-03,
2020-12-09,2020-12-01,
2020-12-09,2020-12-05,
2020-12-09,2020-12-09,
2020-12-09,2020-12-13,
2020-12-09,2020-12-17,
2020-12-09,2020-12-21,0.5660542575514151
2020-12-09,2020-12-25,
2020-12-09,2020-12-29,
2020-12-09,2021-01-02,
2020-12-09,2021-01-06,0.8781394326587544
2020-12-09,2021-01-10,
2020-12-09,2021-01-14,0.19573674858259005
2020-12-09,2021-01-18,
2020-12-09,2021-01-22,0.2587070432084446
2020-12-09,2021-01-26,0.8778297705164256
2020-12-09,2021-01-30,
2020-12-09,2021-02-03,
2020-12-09,2021-02-07,
2020-12-09,2021-02-11,
2020-12-09,2021-02-15,
2020-12-09,2021-02-19,
2020-12-09,2021-02-23,
2020-12-09,2021-02-27,
2020-12-09,2021-03-03,
2020-12-09,2021-03-07,
2020-12-09,2021-03-11,
2020-12-09,2021-03-15,
2020-12-09,2021-03-19,
2020-12-09,2021-03-23,
2020-12-09,2021-03-27,
2020-12-09,2021-03-31,
2020-12-09,2021-04-04,
2020-12-09,2021-04-08,
2020-12-09,2021-04-12,
2020-12-09,2021-04-16,
2020-12-09,2021-04-20,
2020-12-09,2021-04-24,
2020-12-09,2021-04-28,
2020-12-09,2021-05-02,
2020-12-09,2021-05-06,
2020-12-09,2021-05-10,
2020-12-09,2021-05-14,
2020-12-09,2021-05-18,
2020-12-09,2021-05-22,
2020-12-09,2021-05-26,
2020-12-09,2021-05-30,
2020-12-09,2021-06-03,
2020-12-09,2021-06-07,
2020-12-09,2021-06-11,
2020-12-09,2021-06-15,
2020-12-09,2021-06-19,
2020-12-09,2021-06-23,
2020-12-09,2021-06-27,
2020-12-09,2021-07-01,
2020-12-09,2021-07-05,
2020-12-09,2021-07-09,
2020-12-09,2021-07-13,
2020-12-09,2021-07-17,
2020-12-09,2021-07-21,
2020-12-09,2021-07-25,
2020-12-09,2021-07-29,
2020-12-09,2021-08-02,
2020-12-09,2021-08-06,
2020-12-09,2021-08-10,
2020-12-09,2021-08-14,
2020-12-09,2021-08-18,
2020-12-09,2021-08-22,
2020-12-09,2021-08-26,
2020-12-09,2021-08-30,
2020-12-09,2021-09-03,
2020-12-13,2020-12-01,
2020-12-13,2020-12-05,
2020-12-13,2020-12-09,
2020-12-13,2020-12-13,
2020-12-13,2020-12-17,
2020-12-13,2020-12-21,
2020-12-13,2020-12-25,
2020-12-13,2020-12-29,
2020-12-13,2021-01-02,
2020-12-13,2021-01-06,
2020-12-13,2021-01-10,
2020-12-13,2021-01-14,
2020-12-13,2021-01-18,
2020-12-13,2021-01-22,
2020-12-13,2021-01-26,
2020-12-13,2021-01-30,
2020-12-13,2021-02-03,
2020-12-13,2021-02-07,
2020-12-13,2021-02-11,
2020-12-13,2021-02-15,
2020-12-13,2021-02-19,
2020-12-13,2021-02-23,
2020-12-13,2021-02-27,
2020-12-13,2021-03-03,
2020-12-13,2021-03-07,
2020-12-13,2021-03-11,
2020-12-13,2021-03-15,
2020-12-13,2021-03-19,
2020-12-13,2021-03-23,
2020-12-13,2021-03-27,
2020-12-13,2021-03-31,
2020-12-13,2021-04-04,
2020-12-13,2021-04-08,
2020-12-13,2021-04-12,
2020-12-13,2021-04-16,
2020-12-13,2021-04-20,
2020-12-13,2021-04-24,
2020-12-13,2021-04-28,
2020-12-13,2021-05-02,
2020-12-13,2021-05-06,
2020-12-13,2021-05-10,
2020-12-13,2021-05-14,
2020-12-13,2021-05-18,
2020-12-13,2021-05-22,
2020-12-13,2021-05-26,
2020-12-13,2021-05-30,
2020-12-13,2021-06-03,
2020-12-13,2021-06-07,
2020-12-13,2021-06-11,
2020-12-13,2021-06-15,
2020-12-13,2021-06-19,
2020-12-13,2021-06-23,
2020-12-13,2021-06-27,
2020-12-13,2021-07-01,
2020-12-13,2021-07-05,
2020-12-13,2021-07-09,
2020-12-13,2021-07-13,
2020-12-13,2021-07-17,
2020-12-13,2021-07-21,
2020-12-13,2021-07-25,
2020-12-13,2021-07-29,
2020-12-13,2021-08-02,
2020-12-13,2021-08-06,
2020-12-13,2021-08-10,
2020-12-13,2021-08-14,
2020-12-13,2021-08-18,
2020-12-13,2021-08-22,
2020-12-13,2021-08-26,
2020-12-13,2021-08-30,
2020-12-13,2021-09-03,
2020-12-17,2020-12-01,
2020-12-17,2020-12-05,
2020-12-17,2020-12-09,
2020-12-17,2020-12-13,
2020-12-17,2020-12-17,
2020-12-17,2020-12-21,
2020-12-17,2020-12-25,
2020-12-17,2020-12-29,
2020-12-17,2021-01-02,
2020-12-17,2021-01-06,
2020-12-17,2021-01-10,
2020-12-17,2021-01-14,
2020-12-17,2021-01-18,
2020-12-17,2021-01-22,
2020-12-17,2021-01-26,
2020-12-17,2021-01-30,
2020-12-17,2021-02-03,
2020-12-17,2021-02-07,
2020-12-17,2021-02-11,
2020-12-17,2021-02-15,
2020-12-17,2021-02-19,
2020-12-17,2021-02-23,
2020-12-17,2021-02-27,
2020-12-17,2021-03-03,
2020-12-17,2021-03-07,
2020-12-17,2021-03-11,
2020-12-17,2021-03-15,
2020-12-17,2021-03-19,
2020-12-17,2021-03-23,
2020-12-17,2021-03-27,
2020-12-17,2021-03-31,
2020-12-17,2021-04-04,
2020-12-17,2021-04-08,
2020-12-17,2021-04-12,
2020-12-17,2021-04-16,
2020-12-17,2021-04-20,
2020-12-17,2021-04-24,
2020-12-17,2021-04-28,
2020-12-17,2021-05-02,
2020-12-17,2021-05-06,
2020-12-17,2021-05-10,
2020-12-17,2021-05-14,
2020-12-17,2021-05-18,
2020-12-17,2021-05-22,
2020-12-17,2021-05-26,
2020-12-17,2021-05-30,
2020-12-17,2021-06-03,
2020-12-17,2021-06-07,
2020-12-17,2021-06-11,
2020-12-17,2021-06-15,
2020-12-17,2021-06-19,
2020-12-17,2021-06-23,
2020-12-17,2021-06-27,
2020-12-17,2021-07-01,
2020-12-17,2021-07-05,
2020-12-17,2021-07-09,
2020-12-17,2021-07-13,
2020-12-17,2021-07-17,
2020-12-17,2021-07-21,
2020-12-17,2021-07-25,
2020-12-17,2021-07-29,
2020-12-17,2021-08-02,
2020-12-17,2021-08-06,
2020-12-17,2021-08-10,
2020-12-17,2021-08-14,
2020-12-17,2021-08-18,
2020-12-17,2021-08-22,
2020-12-17,2021-08-26,
2020-12-17,2021-08-30,
2020-12-17,2021-09-03,
2020-12-21,2020-12-01,
2020-12-21,2020-12-05,
2020-12-21,2020-12-09,
2020-12-21,2020-12-13,
2020-12-21,2020-12-17,
2020-12-21,2020-12-21,
2020-12-21,2020-12-25,
2020-12-21,2020-12-29,
2020-12-21,2021-01-02,
2020-12-21,2021-01-06,0.9404916086733958
2020-12-21,2021-01-10,
2020-12-21,2021-01-14,0.9192916683123918
2020-12-21,2021-01-18,
2020-12-21,2021-01-22,0.07235241445840179
2020-12-21,2021-01-26,0.9310816897402506
2020-12-21,2021-01-30,0.3476676610772951
2020-12-21,2021-02-03,
2020-12-21,2021-02-07,
2020-12-21,2021-02-11,
2020-12-21,2021-02-15,
2020-12-21,2021-02-19,
2020-12-21,2021-02-23,
2020-12-21,2021-02-27,
2020-12-21,2021-03-03,
2020-12-21,2021-03-07,
2020-12-21,2021-03-11,
2020-12-21,2021-03-15,
2020-12-21,2021-03-19,
2020-12-21,2021-03-23,
2020-12-21,2021-03-27,
2020-12-21,2021-03-31,
2020-12-21,2021-04-04,
2020-12-21,2021-04-08,
2020-12-21,2021-04-12,
2020-12-21,2021-04-16,
2020-12-21,2021-04-20,
2020-12-21,2021-04-24,
2020-12-21,2021-04-28,
2020-12-21,2021-05-02,
2020-12-21,2021-05-06,
2020-12-21,2021-05-10,
2020-12-21,2021-05-14,
2020-12-21,2021-05-18,
2020-12-21,2021-05-22,
2020-12-21,2021-05-26,
2020-12-21,2021-05-30,
2020-12-21,2021-06-03,
2020-12-21,2021-06-07,
2020-12-21,2021-06-11,
2020-12-21,2021-06-15,
2020-12-21,2021-06-19,
2020-12-21,2021-06-23,
2020-12-21,2021-06-27,
2020-12-21,2021-07-01,
2020-12-21,2021-07-05,
2020-12-21,2021-07-09,
2020-12-21,2021-07-13,
2020-12-21,2021-07-17,
2020-12-21,2021-07-21,
2020-12-21,2021-07-25,
2020-12-21,2021-07-29,
2020-12-21,2021-08-02,
2020-12-21,2021-08-06,
2020-12-21,2021-08-10,
2020-12-21,2021-08-14,
2020-12-21,2021-08-18,
2020-12-21,2021-08-22,
2020-12-21,2021-08-26,
2020-12-21,2021-08-30,
2020-12-21,2021-09-03,
2020-12-25,2020-12-01,
2020-12-25,2020-12-05,
2020-12-25,2020-12-09,
2020-12-25,2020-12-13,
2020-12-25,2020-12-17,
2020-12-25,2020-12-21,
2020-12-25,2020-12-25,
2020-12-25,2020-12-29,
2020-12-25,2021-01-02,
2020-12-25,2021-01-06,
2020-12-25,2021-01-10,
2020-12-25,2021-01-14,
2020-12-25,2021-01-18,
2020-12-25,2021-01-22,
2020-12-25,2021-01-26,
2020-12-25,2021-01-30,
2020-12-25,2021-02-03,
2020-12-25,2021-02-07,
2020-12-25,2021-02-11,
2020-12-25,2021-02-15,
2020-12-25,2021-02-19,
2020-12-25,2021-02-23,
2020-12-25,2021-02-27,
2020-12-25,2021-03-03,
2020-12-25,2021-03-07,
2020-12-25,2021-03-11,
2020-12-25,2021-03-15,
2020-12-25,2021-03-19,
2020-12-25,2021-03-23,
2020-12-25,2021-03-27,
2020-12-25,2021-03-31,
2020-12-25,2021-04-04,
2020-12-25,2021-04-08,
2020-12-25,2021-04-12,
2020-12-25,2021-04-16,
2020-12-25,2021-04-20,
2020-12-25,2021-04-24,
2020-12-25,2021-04-28,
2020-12-25,2021-05-02,
2020-12-25,2021-05-06,
2020-12-25,2021-05-10,
2020-12-25,2021-05-14,
2020-12-25,2021-05-18,
2020-12-25,2021-05-22,
2020-12-25,2021-05-26,
2020-12-25,2021-05-30,
2020-12-25,2021-06-03,
2020-12-25,2021-06-07,
2020-12-25,2021-06-11,
2020-12-25,2021-06-15,
2020-12-25,2021-06-19,
2020-12-25,2021-06-23,
2020-12-25,2021-06-27,
2020-12-25,2021-07-01,
2020-12-25,2021-07-05,
2020-12-25,2021-07-09,
2020-12-25,2021-07-13,
2020-12-25,2021-07-17,
2020-12-25,2021-07-21,
2020-12-25,2021-07-25,
2020-12-25,2021-07-29,
2020-12-25,2021-08-02,
2020-12-25,2021-08-06,
2020-12-25,2021-08-10,
2020-12-25,2021-08-14,
2020-12-25,2021-08-18,
2020-12-25,2021-08-22,
2020-12-25,2021-08-26,
2020-12-25,2021-08-30,
2020-12-25,2021-09-03,
2020-12-29,2020-12-01,
2020-12-29,2020-12-05,
2020-12-29,2020-12-09,
2020-12-29,2020-12-13,
2020-12-29,2020-12-17,
2020-12-29,2020-12-21,
2020-12-29,2020-12-25,
2020-12-29,2020-12-29,
2020-12-29,2021-01-02,
2020-12-29,2021-01-06,
2020-12-29,2021-01-10,
2020-12-29,2021-01-14,
2020-12-29,2021-01-18,
2020-12-29,2021-01-22,
2020-12-29,2021-01-26,
2020-12-29,2021-01-30,
2020-12-29,2021-02-03,
2020-12-29,2021-02-07,
2020-12-29,2021-02-11,
2020-12-29,2021-02-15,
2020-12-29,2021-02-19,
2020-12-29,2021-02-23,
2020-12-29,2021-02-27,
2020-12-29,2021-03-03,
2020-12-29,2021-03-07,
2020-12-29,2021-03-11,
2020-12-29,2021-03-15,
2020-12-29,2021-03-19,
2020-12-29,2021-03-23,
2020-12-29,2021-03-27,
2020-12-29,2021-03-31,
2020-12-29,2021-04-04,
2020-12-29,2021-04-08,
2020-12-29,2021-04-12,
2020-12-29,2021-04-16,
2020-12-29,2021-04-20,
2020-12-29,2021-04-24,
2020-12-29,2021-04-28,
2020-12-29,2021-05-02,
2020-12-29,2021-05-06,
2020-12-29,2021-05-10,
2020-12-29,2021-05-14,
2020-12-29,2021-05-18,
2020-12-29,2021-05-22,
2020-12-29,2021-05-26,
2020-12-29,2021-05-30,
2020-12-29,2021-06-03,
2020-12-29,2021-06-07,
2020-12-29,2021-06-11,
2020-12-29,2021-06-15,
2020-12-29,2021-06-19,
2020-12-29,2021-06-23,
2020-12-29,2021-06-27,
2020-12-29,2021-07-01,
2020-12-29,2021-07-05,
2020-12-29,2021-07-09,
2020-12-29,2021-07-13,
2020-12-29,2021-07-17,
2020-12-29,2021-07-21,
2020-12-29,2021-07-25,
2020-12-29,2021-07-29,
2020-12-29,2021-08-02,
2020-12-29,2021-08-06,
2020-12-29,2021-08-10,
2020-12-29,2021-08-14,
2020-12-29,2021-08-18,
2020-12-29,2021-08-22,
2020-12-29,2021-08-26,
2020-12-29,2021-08-30,
2020-12-29,2021-09-03,
2021-01-02,2020-12-01,
2021-01-02,2020-12-05,
2021-01-02,2020-12-09,
2021-01-02,2020-12-13,
2021-01-02,2020-12-17,
2021-01-02,2020-12-21,
2021-01-02,2020-12-25,
2021-01-02,2020-12-29,
2021-01-02,2021-01-02,
2021-01-02,2021-01-06,
2021-01-02,2021-01-10,
2021-01-02,2021-01-14,
2021-01-02,2021-01-18,
2021-01-02,2021-01-22,
2021-01-02,2021-01-26,
2021-01-02,2021-01-30,
2021-01-02,2021-02-03,
2021-01-02,2021-02-07,
2021-01-02,2021-02-11,
2021-01-02,2021-02-15,
2021-01-02,2021-02-19,
2021-01-02,2021-02-23,
2021-01-02,2021-02-27,
2021-01-02,2021-03-03,
2021-01-02,2021-03-07,
2021-01-02,2021-03-11,
2021-01-02,2021-03-15,
2021-01-02,2021-03-19,
2021-01-02,2021-03-23,
2021-01-02,2021-03-27,
2021-01-02,2021-03-31,
2021-01-02,2021-04-04,
2021-01-02,2021-04-08,
2021-01-02,2021-04-12,
2021-01-02,2021-04-16,
2021-01-02,2021-04-20,
2021-01-02,2021-04-24,
2021-01-02,2021-04-28,
2021-01-02,2021-05-02,
2021-01-02,2021-05-06,
2021-01-02,2021-05-10,
2021-01-02,2021-05-14,
2021-01-02,2021-05-18,
2021-01-02,2021-05-22,
2021-01-02,2021-05-26,
2021-01-02,2021-05-30,
2021-01-02,2021-06-03,
2021-01-02,2021-06-07,
2021-01-02,2021-06-11,
2021-01-02,2021-06-15,
2021-01-02,2021-06-19,
2021-01-02,2021-06-23,
2021-01-02,2021-06-27,
2021-01-02,2021-07-01,
2021-01-02,2021-07-05,
2021-01-02,2021-07-09,
2021-01-02,2021-07-13,
2021-01-02,2021-07-17,
2021-01-02,2021-07-21,
2021-01-02,2021-07-25,
2021-01-02,2021-07-29,
2021-01-02,2021-08-02,
2021-01-02,2021-08-06,
2021-01-02,2021-08-10,
2021-01-02,2021-08-14,
2021-01-02,2021-08-18,
2021-01-02,2021-08-22,
2021-01-02,2021-08-26,
2021-01-02,2021-08-30,
2021-01-02,2021-09-03,
2021-01-06,2020-12-01,
2021-01-06,2020-12-05,
2021-01-06,2020-12-09,
2021-01-06,2020-12-13,
2021-01-06,2020-12-17,
2021-01-06,2020-12-21,
2021-01-06,2020-12-25,
2021-01-06,2020-12-29,
2021-01-06,2021-01-02,
2021-01-06,2021-01-06,
2021-01-06,2021-01-10,
2021-01-06,2021-01-14,0.5314561249042271
2021-01-06,2021-01-18,
2021-01-06,2021-01-22,0.21189029716773877
2021-01-06,2021-01-26,0.6109411365856136
2021-01-06,2021-01-30,0.24169224589492466
2021-01-06,2021-02-03,
2021-01-06,2021-02-07,
2021-01-06,2021-02-11,0.21942389091300718
2021-01-06,2021-02-15,
2021-01-06,2021-02-19,
2021-01-06,2021-02-23,
2021-01-06,2021-02-27,
2021-01-06,2021-03-03,
2021-01-06,2021-03-07,
2021-01-06,2021-03-11,
2021-01-06,2021-03-15,
2021-01-06,2021-03-19,
2021-01-06,2021-03-23,
2021-01-06,2021-03-27,
2021-01-06,2021-03-31,
2021-01-06,2021-04-04,
2021-01-06,2021-04-08,
2021-01-06,2021-04-12,
2021-01-06,2021-04-16,
2021-01-06,2021-04-20,
2021-01-06,2021-04-24,
2021-01-06,2021-04-28,
2021-01-06,2021-05-02,
2021-01-06,2021-05-06,
2021-01-06,2021-05-10,
2021-01-06,2021-05-14,
2021-01-06,2021-05-18,
2021-01-06,2021-05-22,
2021-01-06,2021-05-26,
2021-01-06,2021-05-30,
2021-01-06,2021-06-03,
2021-01-06,2021-06-07,
2021-01-06,2021-06-11,
2021-01-06,2021-06-15,
2021-01-06,2021-06-19,
2021-01-06,2021-06-23,
2021-01-06,2021-06-27,
2021-01-06,2021-07-01,
2021-01-06,2021-07-05,
2021-01-06,2021-07-09,
2021-01-06,2021-07-13,
2021-01-06,2021-07-17,
2021-01-06,2021-07-21,
2021-01-06,2021-07-25,
2021-01-06,2021-07-29,
2021-01-06,2021-08-02,
2021-01-06,2021-08-06,
2021-01-06,2021-08-10,
2021-01-06,2021-08-14,
2021-01-06,2021-08-18,
2021-01-06,2021-08-22,
2021-01-06,2021-08-26,
2021-01-06,2021-08-30,
2021-01-06,2021-09-03,
2021-01-10,2020-12-01,
2021-01-10,2020-12-05,
2021-01-10,2020-12-09,
2021-01-10,2020-12-13,
2021-01-10,2020-12-17,
2021-01-10,2020-12-21,
2021-01-10,2020-12-25,
2021-01-10,2020-12-29,
2021-01-10,2021-01-02,
2021-01-10,2021-01-06,
2021-01-10,2021-01-10,
2021-01-10,2021-01-14,
2021-01-10,2021-01-18,
2021-01-10,2021-01-22,
2021-01-10,2021-01-26,
2021-01-10,2021-01-30,
2021-01-10,2021-02-03,
2021-01-10,2021-02-07,
2021-01-10,2021-02-11,
2021-01-10,2021-02-15,
2021-01-10,2021-02-19,
2021-01-10,2021-02-23,
2021-01-10,2021-02-27,
2021-01-10,2021-03-03,
2021-01-10,2021-03-07,
2021-01-10,2021-03-11,
2021-01-10,2021-03-15,
2021-01-10,2021-03-19,
2021-01-10,2021-03-23,
2021-01-10,2021-03-27,
2021-01-10,2021-03-31,
2021-01-10,2021-04-04,
2021-01-10,2021-04-08,
2021-01-10,2021-04-12,
2021-01-10,2021-04-16,
2021-01-10,2021-04-20,
2021-01-10,2021-04-24,
2021-01-10,2021-04-28,
2021-01-10,2021-05-02,
2021-01-10,2021-05-06,
2021-01-10,2021-05-10,
2021-01-10,2021-05-14,
2021-01-10,2021-05-18,
2021-01-10,2021-05-22,
2021-01-10,2021-05-26,
2021-01-10,2021-05-30,
2021-01-10,2021-06-03,
2021-01-10,2021-06-07,
2021-01-10,2021-06-11,
2021-01-10,2021-06-15,
2021-01-10,2021-06-19,
2021-01-10,2021-06-23,
2021-01-10,2021-06-27,
2021-01-10,2021-07-01,
2021-01-10,2021-07-05,
2021-01-10,2021-07-09,
2021-01-10,2021-07-13,
2021-01-10,2021-07-17,
2021-01-10,2021-07-21,
2021-01-10,2021-07-25,
2021-01-10,2021-07-29,
2021-01-10,2021-08-02,
2021-01-10,2021-08-06,
2021-01-10,2021-08-10,
2021-01-10,2021-08-14,
2021-01-10,2021-08-18,
2021-01-10,2021-08-22,
2021-01-10,2021-08-26,
2021-01-10,2021-08-30,
2021-01-10,2021-09-03,
2021-01-14,2020-12-01,
2021-01-14,2020-12-05,
2021-01-14,2020-12-09,
2021-01-14,2020-12-13,
2021-01-14,2020-12-17,
2021-01-14,2020-12-21,
2021-01-14,2020-12-25,
2021-01-14,2020-12-29,
2021-01-14,2021-01-02,
2021-01-14,2021-01-06,
2021-01-14,2021-01-10,
2021-01-14,2021-01-14,
2021-01-14,2021-01-18,
2021-01-14,2021-01-22,0.46828959025633665
2021-01-14,2021-01-26,0.9386456317599404
2021-01-14,2021-01-30,0.2292621628737579
2021-01-14,2021-02-03,
2021-01-14,2021-02-07,
2021-01-14,2021-02-11,0.5016933617388266
2021-01-14,2021-02-15,
2021-01-14,2021-02-19,0.41317702089735453
2021-01-14,2021-02-23,
2021-01-14,2021-02-27,
2021-01-14,2021-03-03,
2021-01-14,2021-03-07,
2021-01-14,2021-03-11,
2021-01-14,2021-03-15,
2021-01-14,2021-03-19,
2021-01-14,2021-03-23,
2021-01-14,2021-03-27,
2021-01-14,2021-03-31,
2021-01-14,2021-04-04,
2021-01-14,2021-04-08,
2021-01-14,2021-04-12,
2021-01-14,2021-04-16,
2021-01-14,2021-04-20,
2021-01-14,2021-04-24,
2021-01-14,2021-04-28,
2021-01-14,2021-05-02,
2021-01-14,2021-05-06,
2021-01-14,2021-05-10,
2021-01-14,2021-05-14,
2021-01-14,2021-05-18,
2021-01-14,2021-05-22,
2021-01-14,2021-05-26,
2021-01-14,2021-05-30,
2021-01-14,2021-06-03,
2021-01-14,2021-06-07,
2021-01-14,2021-06-11,
2021-01-14,2021-06-15,
2021-01-14,2021-06-19,
2021-01-14,2021-06-23,
2021-01-14,2021-06-27,
2021-01-14,2021-07-01,
2021-01-14,2021-07-05,
2021-01-14,2021-07-09,
2021-01-14,2021-07-13,
2021-01-14,2021-07-17,
2021-01-14,2021-07-21,
2021-01-14,2021-07-25,
2021-01-14,2021-07-29,
2021-01-14,2021-08-02,
2021-01-14,2021-08-06,
2021-01-14,2021-08-10,
2021-01-14,2021-08-14,
2021-01-14,2021-08-18,
2021-01-14,2021-08-22,
2021-01-14,2021-08-26,
2021-01-14,2021-08-30,
2021-01-14,2021-09-03,
2021-01-18,2020-12-01,
2021-01-18,2020-12-05,
2021-01-18,2020-12-09,
2021-01-18,2020-12-13,
2021-01-18,2020-12-17,
2021-01-18,2020-12-21,
2021-01-18,2020-12-25,
2021-01-18,2020-12-29,
2021-01-18,2021-01-02,
2021-01-18,2021-01-06,
2021-01-18,2021-01-10,
2021-01-18,2021-01-14,
2021-01-18,2021-01-18,
2021-01-18,2021-01-22,
2021-01-18,2021-01-26,
2021-01-18,2021-01-30,
2021-01-18,2021-02-03,
2021-01-18,2021-02-07,
2021-01-18,2021-02-11,
2021-01-18,2021-02-15,
2021-01-18,2021-02-19,
2021-01-18,2021-02-23,
2021-01-18,2021-02-27,
2021-01-18,2021-03-03,
2021-01-18,2021-03-07,
2021-01-18,2021-03-11,
2021-01-18,2021-03-15,
2021-01-18,2021-03-19,
2021-01-18,2021-03-23,
2021-01-18,2021-03-27,
2021-01-18,2021-03-31,
2021-01-18,2021-04-04,
2021-01-18,2021-04-08,
2021-01-18,2021-04-12,
2021-01-18,2021-04-16,
2021-01-18,2021-04-20,
2021-01-18,2021-04-24,
2021-01-18,2021-04-28,
2021-01-18,2021-05-02,
2021-01-18,2021-05-06,
2021-01-18,2021-05-10,
2021-01-18,2021-05-14,
2021-01-18,2021-05-18,
2021-01-18,2021-05-22,
2021-01-18,2021-05-26,
2021-01-18,2021-05-30,
2021-01-18,2021-06-03,
2021-01-18,2021-06-07,
2021-01-18,2021-06-11,
2021-01-18,2021-06-15,
2021-01-18,2021-06-19,
2021-01-18,2021-06-23,
2021-01-18,2021-06-27,
2021-01-18,2021-07-01,
2021-01-18,2021-07-05,
2021-01-18,2021-07-09,
2021-01-18,2021-07-13,
2021-01-18,2021-07-17,
2021-01-18,2021-07-21,
2021-01-18,2021-07-25,
2021-01-18,2021-07-29,
2021-01-18,2021-08-02,
2021-01-18,2021-08-06,
2021-01-18,2021-08-10,
2021-01-18,2021-08-14,
2021-01-18,2021-08-18,
2021-01-18,2021-08-22,
2021-01-18,2021-08-26,
2021-01-18,2021-08-30,
2021-01-18,2021-09-03,
2021-01-22,2020-12-01,
2021-01-22,2020-12-05,
2021-01-22,2020-12-09,
2021-01-22,2020-12-13,
2021-01-22,2020-12-17,
